name,meets_criteria,reason,group,stars,forks,open_issues,language,archived,feature_file_count,scenario_count
igniteram/testng-cucumber,No,Self-described boilerplate,java,50,61,2,Java,FALSE,3,3
underc0delabs/Autoc0de-Hybrid,No,template,java,50,5,1,Java,FALSE,2,2
martinschneider/justtestlah,Yes,Actively maintained UI test framework; Gherkin suites are its own integration tests,java,48,20,28,Java,FALSE,11,11
serenity-bdd/serenity-cucumber4-starter,No,Archived starter template,java,48,72,22,Java,TRUE,1,1
selcukes/selcukes-java,Yes,Actively maintained automation library; features tests its own modules ,java,47,7,10,Java,FALSE,6,6
underc0delabs/Autoc0de-WEB,No,"Learning-lab framework template, single Example.feature",java,47,7,0,Java,FALSE,1,1
akshayp7/playwright-java-cucumber,No,boilerplate/template,java,46,25,0,Java,FALSE,6,6
rajatt95/MasterAppiumFramework_BDD,No,Udemy-course practice framework,java,44,20,2,Java,FALSE,2,2
VinayKumarBM/API-Cucumber,No,"Personal sample API framework, stale since 2023",java,41,40,1,Java,FALSE,4,4
bcarun/cucumber-samples,No,Sample project set for learning Cucumber,java,40,108,2,Java,FALSE,6,6
cronn/cucumber-junit5-example,No,Example/tutorial repo (company-owned but explicitly an example),java,40,16,38,Java,FALSE,3,3
arnaud-dezandee/cucumber-mink,Yes,"Published npm library (cucumber-mink); features are its own step-definition test suite, maintained",nodejs,39,14,12,JavaScript,FALSE,9,9
extent-framework/extentreports-cucumber4-adapter,No,Unmaintained since 2020; features are copied stock Cucumber examples,java,39,21,30,Java,FALSE,3,3
naveenanimation20/Cucumber7.xTestNGLatestPOC,No,Course POC repo,java,39,46,2,Java,FALSE,1,1
pavanoltraining/CucumberSDETProject,No,Training-company course project,java,37,70,4,Java,FALSE,2,2
pactumjs/pactum-cucumber-boilerplate,No,Boilerplate by name and purpose,nodejs,35,16,2,JavaScript,FALSE,1,1
Comcast/zucchini,No,Real Comcast OSS tool but abandoned since 2022; features are self-test samples,java,35,19,5,Java,FALSE,6,6
yazidisme/selenium-cucumber-framework,No,Self-described 'sample of an automation framework',java,33,45,0,Java,FALSE,5,5
mpinardi/cucumber-performance,No,Stale since 2023 and its features are synthetic pass/fail fixtures,java,33,6,1,Java,FALSE,2,2
selenide-examples/cucumber,No,Sample project demonstrating Selenide with Cucumber,java,33,39,1,Java,FALSE,2,2
VinayKumarBM/playwright-cucumber-sample,No,Sample framework by name and README,nodejs,32,18,1,TypeScript,FALSE,5,5
serenity-js/serenity-js-cucumber-playwright-template,No,Official template repository,nodejs,32,15,8,TypeScript,FALSE,1,1
qaPaschalE/playwright-cucumber-ts-steps,Yes,"Published npm step library, actively released; features test its own steps (borderline: single maintainer)",nodejs,30,1,0,TypeScript,FALSE,3,3
PrinceSoni83/playwright-cucumber-js-e2e-boilerplate,No,Boilerplate by name and purpose,nodejs,30,17,0,JavaScript,FALSE,2,2
kamil-nowocin/Test_Automation-automationpractice,No,Personal practice framework against the automationpractice demo site,java,30,16,0,Java,FALSE,7,7
browserstack/cucumber-js-browserstack,No,Vendor integration sample repo,nodejs,29,32,16,JavaScript,FALSE,2,2
BalamiRR/QA-Testinium,No,Personal QA practice project,java,29,16,2,Java,FALSE,20,20
kowalcj0/cucumber-testng-parallel-selenium,No,"Example project, dead since 2014",java,28,36,1,Java,FALSE,4,4
alexvictoor/pitest-cucumber-plugin,No,"Active plugin, but its features are stock Cucumber calculator examples used as fixtures",java,28,12,8,Java,FALSE,3,3
reportportal/agent-java-cucumber,No,"Archived, end-of-support ReportPortal agent",java,26,17,0,Java,TRUE,21,21
Book-Microservices-v2/cucumber-tests,No,Companion code for a book chapter,java,25,14,0,Java,FALSE,2,2
machzqcq/cucumber-jvm-template,No,Template project by name,java,25,91,4,Java,FALSE,1,1
Marketionist/testcafe-cucumber-steps,Yes,Published npm step library (testcafe-cucumber-steps) with its own executed Cucumber suite,nodejs,24,6,3,JavaScript,FALSE,4,4
adamcegielka/playwright-cucumber-bdd-typescript,No,Author states it is a personal skill-practice project,nodejs,24,8,5,TypeScript,FALSE,2,2
Cybertek-B15Local/fall-2019-va-cucumber-project,No,Bootcamp class project,java,24,73,6,Java,FALSE,13,13
sahajamit/cucumber-jvm-testng-integration,No,"Blog-demo integration example, stale",java,24,31,3,Java,FALSE,2,2
alexej-strelzow/testcafe-cucumber-typescript,No,Example/starter framework,nodejs,23,10,1,JavaScript,FALSE,3,3
reportportal/examples-java,No,Vendor examples repo,java,23,57,1,Java,FALSE,22,22
Raghav-Pal/SeleniumCucumberBDD,No,YouTube tutorial framework,java,23,77,1,Java,FALSE,4,4
cucumber/cucumber-jvm-groovy,No,Archived by Cucumber org,java,23,9,4,Java,TRUE,4,4
luciemars/cucumber-java-selenium-webdriver-example,No,Example repo by name and README,java,23,52,3,Java,FALSE,2,2
MiroslavRusev/cuppet,Yes,Maintained NodeJS BDD tool (cuppet) used for real site testing; features are its own executed suite,nodejs,22,2,12,JavaScript,FALSE,5,5
serenity-js/serenity-js-cucumber-webdriverio-template,No,Official template repository,nodejs,22,5,8,TypeScript,FALSE,1,1
jaganduraisamy/RestAssured-BDD-Java,No,"Personal simple framework, stale",java,22,41,0,Java,FALSE,2,2
quarkiverse/quarkus-cucumber,Yes,Maintained Quarkiverse extension; feature files are its integration-test suite (minimal features),java,21,19,37,Java,FALSE,3,3
sorin-costea/bdd,No,Tiny personal demo suite,java,21,22,0,Java,FALSE,1,1
cjmarkham/Gherklin,Yes,Actively developed Gherkin linter (npm gherklin); acceptance features test its lint rules,nodejs,20,7,7,TypeScript,FALSE,30,30
FortechRomania/android-ios-cucumber-example,No,"Company example repo, dead since 2019",java,20,10,0,Java,FALSE,2,2
ashenwgt/awesome-bdd-with-cucumber,No,Sample project for a blog post,java,20,43,0,Java,FALSE,2,2
mainfraame/cucumber-jest,No,Real npm transformer but abandoned since 2022; features are synthetic fixtures,nodejs,19,11,3,TypeScript,FALSE,11,11
sneufeind/hexagonal-architecture-example-java,No,Architecture proof-of-concept example,java,19,7,1,Java,FALSE,3,3
omprakashchavan01/appium-cucumberbdd,No,Course/tutorial framework,java,19,23,2,Java,FALSE,2,2
omprakashchavan01/appium-cucumberbdd-testng,No,Course/tutorial framework (TestNG variant),java,19,21,2,Java,FALSE,2,2
SuffolkLITLab/ALKiln,Yes,Actively maintained legal-tech testing tool; its Gherkin suite tests ALKiln itself,nodejs,18,4,71,JavaScript,FALSE,18,18
deblockt/cucumber-report-annotations-action,No,"Real GitHub Action, but the features exist only as report-parsing fixtures",nodejs,18,11,6,JavaScript,FALSE,2,2
gftf2011/clean-node-file-uploader-api-js,No,Archived personal clean-architecture study project,nodejs,18,3,19,JavaScript,TRUE,1,1
tychobrailleur/cucumber-jvm-examples,No,Examples repo,java,18,47,0,Java,FALSE,3,3
dev9com/cucumber-java-selenium-example,No,"Example repo, dead since 2014",java,18,15,0,Java,FALSE,2,2
aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,No,AWS sample repo,java,18,20,3,Java,FALSE,1,1
excellentdrums/Cucumber-JVM-Spring-MVC-Test-HTMLUnit-Demo,No,Demo repo from 2015,java,18,2,0,Java,FALSE,1,1
telekom/bdd-web-app,Yes,Telekom OSS BDD framework maintained into 2024; real Gherkin suites for its demo web app,java,17,2,6,Java,FALSE,9,9
cmccarthyIrl/spring-cucumber-testng-parallel-test-harness,No,Personal test-harness template,java,17,7,3,Java,FALSE,4,4
narottamgla/selenium-bdd-cucumber,No,Personal example project showing BDD + Jenkins setup,java,17,17,3,Java,FALSE,4,4
tristanmccarthy/Cucumber-JVM-Parallel,No,Example project from 2013,java,17,43,3,Java,FALSE,2,2
allure-examples/cucumberjvm-junit4-maven,No,Vendor example repo,java,16,20,0,Java,FALSE,3,3
ghoshasish99/Playwright-Java-Cucumber,No,Personal demo repo,java,16,7,0,Java,FALSE,2,2
allure-framework/allure-cucumberjvm,No,Deprecated/archived adapter,java,16,13,0,Java,TRUE,1,1
muralco/pickled-cucumber,Yes,"Company OSS Gherkin library (npm pickled-cucumber); features/ tests its own steps, maintained",nodejs,15,14,6,TypeScript,FALSE,25,25
Arjun-Ar91/Wdio7-appium-cucumber,No,Boilerplate project by name,nodejs,15,9,1,JavaScript,FALSE,1,1
extrawest/BDD-Charge-Point-Tester-via-OCPP-J-,No,"Real OCPP charge-point test tool with genuine scenarios, but inactive since 2023",java,15,8,2,Java,FALSE,24,24
jussaragranja/SeleniumEasyTest2,No,Personal practice project against a demo site,java,15,3,1,Java,FALSE,8,8
grasshopper7/extentreports-cucumber6-adapter,No,"Active adapter, but features are stock Cucumber calculator examples used as fixtures",java,15,15,20,Java,FALSE,5,5
Frameworkium/frameworkium-bdd,No,"BDD demo layer with sample features, stale since 2023",java,15,18,7,Java,FALSE,3,3
ChristianAA/selenium-springboot-example,No,Example project by name and README,java,15,11,0,Java,FALSE,1,1
TechPrimers/jenkins-pipeline-cucumber-example,No,Tutorial example for a Jenkins pipeline,java,15,137,2,Java,FALSE,1,1
firagapratama/LoginAutomationTDD,No,Single-feature learning project,java,15,0,0,Java,FALSE,1,1
serenity-bdd/serenity-cucumber5,No,"Superseded Serenity module, inactive since 2022",java,14,14,10,Java,FALSE,64,64
Cybertek-Mentors/syslibrary-cucumber-framework,No,Bootcamp class project,java,14,29,4,Java,FALSE,5,5
ortoniKC/Cucumber-2022-letcode,No,Tutorial repo for a YouTube course,java,14,13,0,Java,FALSE,2,2
Skarlet03/office_hour_cucumber_project,No,Bootcamp office-hours project,java,14,30,2,Java,FALSE,1,1
cedaniel200/appium-screenplay-pageobject,No,Small demo of the screenplay pattern,java,14,10,0,Java,FALSE,1,1
underc0delabs/Autoc0de-Web-Playwrigth,No,Learning-lab framework template,java,14,3,0,Java,FALSE,1,1
serenity-bdd/serenity-cucumber4,No,Retired module (README points to successor),java,13,9,14,Java,FALSE,64,64
dougnoel/sentinel,No,"Real Selenium framework with genuine features, but inactive since 2023",java,13,14,120,Java,FALSE,21,21
osvaldjr/easy-cucumber,Yes,Maintained OSS library (easy-cucumber); example modules' features are its integration tests,java,13,7,8,Java,FALSE,9,9
naveenanimation20/Cucumber6LatestFeatures,No,Course demo repo,java,13,31,1,Java,FALSE,8,8
vamsidarbhamulla/serenity-cucumber-bdd-screenplay,No,Tutorial project against a Prestashop demo site,java,13,26,0,Java,FALSE,4,4
sreenigsd/cheetah,No,Framework's only features are playground samples; effectively dormant,java,13,12,11,Java,FALSE,2,2
rubenjgarcia/cucumber-rest-steps,No,"Tiny library, dead since 2018",java,13,11,0,Java,FALSE,1,1
copeautomation/wdio-cucumber-e2e-test,No,Demo e2e test project,nodejs,12,16,0,TypeScript,FALSE,5,5
RedFroggy/spring-cucumber-rest-api,Yes,Maintained company OSS library (spring-cucumber-rest-api); features test its own REST steps,java,12,29,16,Java,FALSE,2,2
AndyLPK247/cucumber-jvm-java8-example,No,Archived example project,java,12,10,0,Java,TRUE,1,1
a11n/android-cucumber-espresso,No,Template demo project,java,12,2,0,Java,FALSE,1,1
joaovictorino/cleanarch-automated-tests,No,Teaching sample for clean architecture,java,12,4,0,Java,FALSE,1,1
seanfrenzel/java-gradle-selenium-cucumber-parallel-skeleton,No,Skeleton project by name,java,12,14,1,Java,FALSE,1,1
anonymax25/cucumber-typescript-example,No,Example kata project,nodejs,11,5,1,TypeScript,FALSE,3,3
webdriverio-community/wdio-rerun-service,Yes,Actively maintained WebdriverIO community service; Cucumber features run as part of its e2e suite,nodejs,11,13,5,TypeScript,FALSE,2,2
serenity-bdd/serenity-cucumber6,No,Archived Serenity module,java,11,24,11,Java,TRUE,66,66
connor-hitchcock/Leftovers-The-Ecommerce-Food-Web-App,No,University team course project,java,11,1,3,Java,FALSE,7,7
leeonky/jfactory-cucumber,Yes,"Published library (jfactory-cucumber) whose features genuinely test its own steps (borderline: small, single author)",java,11,2,0,Java,FALSE,6,6
sauce-archives/Java-CucumberJVM-JUnit-Selenium,No,Archived Sauce Labs demo,java,11,18,2,Java,TRUE,4,4
estefafdez/selenium-cucumber,No,Personal integration example with sample features,java,11,31,2,Java,FALSE,2,2
Cybertek-B15Local/CucumberWebOrdersFall2019,No,Bootcamp class project,java,11,13,3,Java,FALSE,1,1
qavajs/console-formatter,No,"Active npm formatter, but its features are synthetic fixtures to exercise output",nodejs,10,0,0,TypeScript,FALSE,5,5
aws-samples/aws-cdk-pipelines-cucumber-bdd,No,AWS sample demo for CDK pipelines,nodejs,10,0,6,TypeScript,FALSE,1,1
cucumber/screenplay.js.examples,No,Archived examples repo,nodejs,10,0,13,TypeScript,TRUE,1,1
wireapp/picklejar-engine,No,"Real Wire engine, but its features are synthetic discovery/test-data fixtures",java,10,0,0,Java,FALSE,29,29
amalsgit/restassured-serenitybdd-junit-cucumber,No,Sample API test solution,java,10,13,4,Java,FALSE,3,3
cmccarthyIrl/spring-cucumber-junit-parallel-test-harness,No,Personal test-harness template,java,10,3,1,Java,FALSE,3,3
Cybertek-Archives/simple-cucumber-demo,No,Bootcamp demo framework,java,10,11,2,Java,FALSE,1,1
QaBound/spring-cucumber-test-framework,,,java,10,7,0,Java,FALSE,1,1
aluedeke/cucumber-jvm-example,,,java,10,9,1,Java,FALSE,1,1
natritmeyer/cucumber-jvm-dependency-injection-with-spring,,,java,10,10,1,Java,FALSE,1,1
hdorgeval/playwright-fluent-ts-cucumber7-starter,,,nodejs,9,4,0,TypeScript,FALSE,1,1
rsksmart/e2e_dapps_automation,,,nodejs,9,5,3,JavaScript,FALSE,1,1
serenity-js/serenity-js-cucumber-template,,,nodejs,9,7,8,TypeScript,FALSE,1,1
Catena-Media/Dtective,,,java,9,4,8,Java,FALSE,58,58
Cydeo-EU8/cydeo-cucumber-junit-EU8,,,java,9,24,2,Java,FALSE,11,11
TheKiddos/faith,,,java,9,1,14,Java,FALSE,11,11
NoushinB/Selenium-WebDriver-Java-Testing-Example,,,java,9,0,1,Java,FALSE,8,8
Xceptance/neodymium-cucumber-example,,,java,9,3,1,Java,FALSE,8,8
bhecquet/seleniumRobot,,,java,9,7,25,Java,FALSE,3,3
rdlopes/demo-cucumber-junit5,,,java,9,0,8,Java,FALSE,2,2
AndyLPK247/cucumber-jvm-java-example,,,java,9,8,0,Java,TRUE,1,1
CodingDojoPolytech/cucumber-mockito-shakespeare,,,java,9,4,0,Java,FALSE,1,1
PraveenGNair/jacoco-multi-module-sample,,,java,9,17,2,Java,FALSE,1,1
czeczotka/cucumber-jvm-maven,,,java,9,18,0,Java,FALSE,1,1
shukrani/Cucumber-Java-Extent-Example,,,java,9,4,1,Java,FALSE,1,1
ukrvassabi/serenity-bdd-test,,,java,9,17,1,Java,FALSE,1,1
zenoyu/java-maven-cucumber-selenium,,,java,9,8,1,Java,FALSE,1,1
testomatio/check-cucumber,,,nodejs,8,2,7,JavaScript,FALSE,9,9
eddiejaoude/video-tdd-api-pactumjs-cucumber,,,nodejs,8,1,0,JavaScript,TRUE,1,1
serenity-js/serenity-js-cucumber-protractor-template,,,nodejs,8,10,8,JavaScript,FALSE,1,1
zbcjackson/cucumber-ai,,,nodejs,8,0,1,TypeScript,FALSE,1,1
reportportal/agent-java-cucumber6,,,java,8,4,4,Java,FALSE,26,26
gingeleski/cucumber-spring-security-tests,,,java,8,7,8,Java,FALSE,16,16
zaferatakli/MagentoCucumber_Project,,,java,8,0,0,Java,FALSE,9,9
zaferatakli/ParaBankCucumberProject,,,java,8,0,0,Java,FALSE,7,7
ekim197711/springboot-cucumber,,,java,8,8,0,Java,FALSE,6,6
Cybertek-B12/summer-2019-local-cucumber-selenium,,,java,8,21,1,Java,FALSE,5,5
mindstix-labs/qa-automation-accelerator,,,java,8,8,14,Java,FALSE,5,5
susnigdha1/PlaywrightTestAutomationFramework,,,java,8,6,0,Java,FALSE,3,3
the-sdet/appium-cucumber-junit5-mobile-automation-framework,,,java,8,3,0,Java,FALSE,3,3
SrinivasanTarget/AppiumCucumber,,,java,8,16,0,Java,FALSE,2,2
SyntaxTechnologies/CucumberFrameWorkReviewBatch14,,,java,8,1,0,Java,FALSE,2,2
hvanli/OrangeHrmCucumberFramework,,,java,8,5,3,Java,FALSE,2,2
scormaq/gradle-serenity-cucumber-forking,,,java,8,1,1,Java,TRUE,2,2
anair-it/drools-cucumber,,,java,8,2,0,Java,FALSE,1,1
cvenkatreddy/restassured-serenity-cucumber,,,java,8,7,1,Java,FALSE,1,1
savkk/cucumber-junit5-example,,,java,8,0,0,Java,FALSE,1,1
sritaj/Automation_FW_API_RestAssured,,,java,8,4,1,Java,FALSE,1,1
RashmiSandamini/Group_18_Cucumber_PW,,,nodejs,7,1,0,TypeScript,FALSE,17,17
qavajs/html-formatter,,,nodejs,7,0,0,HTML,FALSE,15,15
janexner/puppeteer-site-infrastructure-tests,,,nodejs,7,1,1,JavaScript,TRUE,5,5
davidjgoss/cucumber-puppeteer-typescript-starter,,,nodejs,7,3,1,TypeScript,TRUE,3,3
AZANIR/Playwright_Cucumber_Allure,,,nodejs,7,3,0,TypeScript,FALSE,2,2
formentor-studio/dapp-auction-with-bdd-cucumber,,,nodejs,7,7,0,JavaScript,FALSE,2,2
JoanEsquivel/playwright-cucumber-starter,,,nodejs,7,7,0,TypeScript,FALSE,1,1
raptatinha/blog-playwright-bdd,,,nodejs,7,3,0,TypeScript,FALSE,1,1
veepee-oss/gingerspec,,,java,7,7,8,Java,FALSE,26,26
reportportal/agent-java-cucumber4,,,java,7,9,0,Java,TRUE,23,23
fslev/cucumber-jutils,,,java,7,0,1,Java,FALSE,10,10
NuriOzturk/Magento-Cucumber-Project,,,java,7,0,0,Java,FALSE,9,9
Yigit-Cam/MagentoCucumberProject,,,java,7,0,0,Java,FALSE,9,9
zaferatakli/E-JunkieDemoShopProject_Cucumber,,,java,7,0,0,Java,FALSE,8,8
zaferatakli/TechnoStudyProject_Cucumber,,,java,7,0,0,Java,FALSE,8,8
AzimKorkmaz/ParaBankProject_Cucumber,,,java,7,0,0,Java,FALSE,7,7
NuriOzturk/Para-Bank-Project_Cucumber,,,java,7,0,0,Java,FALSE,7,7
Yigit-Cam/ParaBankCucumberProject,,,java,7,0,0,Java,FALSE,7,7
rftbtr/ParaBANK-Project-With-Cucumber,,,java,7,0,0,Java,FALSE,7,7
Cybertek-EU4/EU4CucumberSelenium,,,java,7,21,1,Java,FALSE,5,5
Duduosun/bdd_cucumber_rest_java,,,java,7,5,0,Java,FALSE,5,5
LearnByBhanuPratap/cucumberSeleniumFramework,,,java,7,40,0,Java,FALSE,5,5
grasshopper7/extentreports-cucumber5-adapter,,,java,7,5,8,Java,FALSE,5,5
serenity-dojo/caffeinate-me,,,java,7,68,12,Java,FALSE,5,5
SyntaxTechnologies/cucumberReview,,,java,7,2,0,Java,FALSE,4,4
omniverse-labs/microservices-java-rabbitmq,,,java,7,2,0,Java,FALSE,3,3
the-sdet/appium-cucumber-junit4-mobile-automation-framework,,,java,7,0,0,Java,FALSE,3,3
Ozleblebici/ApiRestServiceTestingExercise,,,java,7,6,0,Java,FALSE,2,2
browserstack/cucumber-java-browserstack,,,java,7,27,5,Java,FALSE,2,2
dezlearn/dezinnia-cucumber,,,java,7,25,0,Java,FALSE,2,2
haticedagli/wingie-QA-case-study,,,java,7,2,0,Java,FALSE,2,2
10ravikumar/serenity-cucumber,,,java,7,5,12,Java,FALSE,1,1
Cybertek-B15Local/b15-cucumber-junit-automated-tests,,,java,7,10,1,Java,FALSE,1,1
Evangard/Cucumber_project,,,java,7,0,0,Java,FALSE,1,1
cedaniel200/screenplay-windows-application-driver,,,java,7,1,0,Java,FALSE,1,1
francislainy/cucumber-spring-boilerplate,,,java,7,3,0,Java,FALSE,1,1
gingeleski/helloworld-cucumber-java-gradle,,,java,7,12,1,Java,FALSE,1,1
seanfrenzel/java-selenium-cucumber-appium-skeleton,,,java,7,1,0,Java,FALSE,1,1
yazidisme/selenium-cucumber-page-object-example,,,java,7,7,0,Java,FALSE,1,1
cucumber/fake-cucumber,,,nodejs,6,0,0,TypeScript,TRUE,2,2
bobbyecho/wdio-serenityjs-cucumber-saucelabs,,,nodejs,6,0,0,JavaScript,FALSE,1,1
depapp/pusakatest,,,nodejs,6,1,1,JavaScript,FALSE,1,1
javicoin/cucumber-playwright-synpress,,,nodejs,6,1,0,JavaScript,FALSE,1,1
vijayravindran90/playwright-cucumber-bdd,,,nodejs,6,4,0,TypeScript,FALSE,1,1
UKHomeOffice/hocs-serenity-automation,,,java,6,7,1,Java,FALSE,121,121
arafkarsh/ms-test-quickstart,,,java,6,5,0,Java,FALSE,9,9
rftbtr/Magento-Project-With-Cucumber,,,java,6,0,0,Java,FALSE,9,9
CourseRepository/SeleniumWebdriverWithCucumber,,,java,6,16,1,Java,FALSE,8,8
TugbaKilic33/ParaBankCucumberProject,,,java,6,0,0,Java,FALSE,7,7
umangbhatia786/Selenium,,,java,6,2,2,Java,FALSE,7,7
Cydeo-EU10/EU10-CucumberJunit,,,java,6,10,0,Java,FALSE,6,6
prnbtr09/bdd-cucumber,,,java,6,9,0,Java,FALSE,6,6
qaf-tm/qaf-cucumber,,,java,6,9,4,Java,FALSE,3,3
Raghav-Pal/CucumberBDDCMD,,,java,6,25,0,Java,FALSE,2,2
deblockt/cucumber-datatable-to-bean-mapping,,,java,6,1,0,Java,FALSE,2,2
donesvad/java-ui-test-github,,,java,6,0,0,Java,FALSE,2,2
hoangthach252/Cucumber7JUnit5SelenideSpringGradle,,,java,6,2,0,Java,FALSE,2,2
jecklgamis/cucumber-jvm-java-example,,,java,6,7,0,Java,FALSE,2,2
omprakashchavan01/cucumberbdd,,,java,6,4,0,Java,FALSE,2,2
sunil-samuel/BRMS-Rules-KJar,,,java,6,7,0,Java,FALSE,2,2
yyzahran/SeleniumFrameworkUsingJava,,,java,6,3,1,Java,FALSE,2,2
NoushinB/RestAssured-API-Testing,,,java,6,0,0,Java,FALSE,1,1
Rhoynar/qa-automation,,,java,6,3,0,Java,FALSE,1,1
bazylMN/cucumber-java-webdriver-manager,,,java,6,3,0,Java,FALSE,1,1
dilankadon/AppiumCrossPlatformIosAndroid,,,java,6,1,1,Java,FALSE,1,1
emrtnm/cucumber-automation-framework,,,java,6,1,2,Java,FALSE,1,1
kalyangogineni/cucumber-java-xray-automation,,,java,6,4,0,Java,FALSE,1,1
manukippes/Selenium-Cucumber,,,java,6,0,1,Java,FALSE,1,1
underc0delabs/Autoc0de-Web-Playwrigth-TestNG,,,java,6,1,0,Java,FALSE,1,1
upex-galaxy/seleniumjava-template-gx,,,java,6,1,0,Java,FALSE,1,1
zebrunner/carina-cucumber,,,java,6,10,2,Java,FALSE,1,1
cucumber/cucumber-json-converter,,,nodejs,5,8,1,TypeScript,FALSE,38,38
nightwatchjs/cucumberjs-boilerplate,,,nodejs,5,5,1,JavaScript,FALSE,3,3
AlexGalichenko/cucumber-e2e-boilerplate,,,nodejs,5,3,0,JavaScript,FALSE,2,2
LambdaTest/WebdriverIO-Cucumber-HyperExecute-Sample,,,nodejs,5,14,0,JavaScript,FALSE,1,1
afsarali273/AutomationPracticeSite-WebDriverio-Cucumber,,,nodejs,5,11,6,JavaScript,FALSE,1,1
emrtnm/TestMersys,,,java,5,1,0,Java,FALSE,13,13
rahulrathore44/SeleniumWebdriverWithCucumber-io,,,java,5,12,1,Java,FALSE,9,9
